지주명,공시연도,공시유형,구분,제목,파일명,방식,다운로드성공,실패사유,목록크기,실제크기,크기차이,페이지수,텍스트추출,텍스트글자수,스캔본추정,목차항목수,본문발견섹션수,섹션출처,목차없음,표수,표셀수,쪽당표셀,표추출신뢰도,sha256,url,fetched_at
우리금융지주,2026,본공시,지배구조·보수체계 통합,2025 년도 지배구조 및 보상체계 연차보고서 공시,우리금융지주_지배구조연차보고서_2026.pdf,GET,Y,,2801763,2801763,,301,Y,477092,N,75,75,목차,N,978,77181,256.4,보통,3d52e76ec7f6ac400fa3122779576e26dc066b63a3271004e35cb3ceb9f9e6ca,https://www.woorifg.com/cmm/fms/FileDown.do?fileId=FILE_000000000003960&saveFileNm=202602270537409700.pdf&fileSeq=0,2026-09-22T02:48:44+0000
우리금융지주,2026,추가공시,지배구조·보수체계 통합,2025 년도 지배구조 및 보상체계 연차보고서 추가 공시,우리금융지주_지배구조연차보고서_2026_추가공시.pdf,GET,Y,,2545791,2545791,,302,Y,477248,N,75,75,목차,N,983,77153,255.5,보통,8f3faf133b7e2f92ab9fb9a23f0fae97980c81faa65bd17067f832d640fd0ab5,https://www.woorifg.com/cmm/fms/FileDown.do?fileId=FILE_000000000003989&saveFileNm=202603130500029830.pdf&fileSeq=0,2026-09-22T02:48:58+0000
하나금융지주,,조직도,조직도,조직도 이미지,하나금융지주_조직도_20260805.png,GET:8002,Y,,,232283,,,-,,,,,,N,,,,,949643a3fae6851747351896bbf8cdce2c89c31ad3687bcd4d5e65537230a1db,https://www.hanafn.com:8002/upload/common/upeditor/10000024/20260810//20260810055004497.png,2026-09-22T02:50:18+0000
하나금융지주,2025,본공시,지배구조·보수체계 통합,2024 하나금융지주 지배구조 및 보수체계 연차보고서,하나금융지주_지배구조연차보고서_2025.pdf,GET:8002,Y,,12600429,12600429,,457,Y,748843,N,136,1119,본문표제,N,1472,82085,179.6,보통,2b86e639806f63b2b0b5aad6a406d3dc3d2b3092e1e89b4f0db434261b60d97f,https://www.hanafn.com:8002/download/10062414/crossDownload.do,2026-09-22T02:50:29+0000
하나금융지주,2025,추가공시,지배구조·보수체계 통합,2024 하나금융지주 지배구조 및 보수체계 연차보고서(추가공시),하나금융지주_지배구조연차보고서_2025_추가공시.pdf,GET:8002,Y,,12608353,12608353,,457,Y,749256,N,136,1119,본문표제,N,1476,82143,179.7,보통,94e68f640db33cb902c3ec3f30073e80b4a78d32b48a8a07f7be9e77fba2750c,https://www.hanafn.com:8002/download/10063128/crossDownload.do,2026-09-22T02:51:05+0000
하나금융지주,2026,본공시,지배구조·보수체계 통합,2025 하나금융지주 지배구조 및 보수체계 연차보고서,하나금융지주_지배구조연차보고서_2026.pdf,GET:8002,Y,,12500523,12500523,,456,Y,751683,N,137,1119,본문표제,N,1439,82591,181.1,보통,e0f7dfd42aee1e195ce4c42c4a7124f065a66d725ec5d9b6f9bdcb1aa3a6696e,https://www.hanafn.com:8002/download/10072114/crossDownload.do,2026-09-22T02:51:42+0000
하나금융지주,2026,추가공시,지배구조·보수체계 통합,2025 하나금융지주 지배구조 및 보수체계 연차보고서(추가공시),하나금융지주_지배구조연차보고서_2026_추가공시.pdf,GET:8002,Y,,12509331,12509331,,457,Y,752623,N,137,1118,본문표제,N,1437,82541,180.6,보통,60fedcc5036fe71640a4c43ae2c8ca32af23ed6057edbd97a3d077b563f39444,https://www.hanafn.com:8002/download/10072555/crossDownload.do,2026-09-22T02:52:19+0000
한국투자금융지주,,조직도,조직도,조직도 이미지,한국투자금융지주_조직도.png,GET,Y,,,102229,,,-,,,,,,N,,,,,0667b5cfb02f242a8f523fe627dd9e6b4932bfef18716c58226449bf13fe5d84,https://www.koreaholdings.com/images/exctv03.png,2026-09-22T02:43:15+0000
한국투자금융지주,2025,본공시,지배구조·보수체계 통합,2024년 지배구조 및 보수체계 연차보고서 공시,한국투자금융지주_지배구조연차보고서_2025.pdf,POST,Y,,5477520,5477520,,205,Y,337690,N,76,76,목차,N,685,42030,205.0,보통,f96aedfecd4c8d2172c01c790ba259d9f4a641bb028565bd6594a046cce7d5d6,https://www.koreaholdings.com/common/fildDownload,2026-09-22T02:43:18+0000
한국투자금융지주,2025,재공시,지배구조·보수체계 통합,2024년 지배구조 및 보수체계 연차보고서 재공시,한국투자금융지주_지배구조연차보고서_2025_재공시.pdf,POST,Y,,5462203,5462203,,204,Y,337408,N,76,76,목차,N,680,42135,206.5,보통,978c749e8ffa0f77d0e508fde0649b87b19a37584c6e3e0424b618d6656a79f6,https://www.koreaholdings.com/common/fildDownload,2026-09-22T02:43:37+0000
한국투자금융지주,2026,본공시,지배구조·보수체계 통합,2025년 지배구조 및 보수체계 연차보고서 공시,한국투자금융지주_지배구조연차보고서_2026.pdf,POST,Y,,4071634,4071634,,207,Y,341717,N,79,79,목차,N,685,42204,203.9,보통,2a2eb84be49a66a9b0c30358d3d9f4ea7c824665932462689d14aac696124680,https://www.koreaholdings.com/common/fildDownload,2026-09-22T02:43:55+0000
한국투자금융지주,2026,재공시,지배구조·보수체계 통합,2025년 지배구조 및 보수체계 연차보고서 재공시,한국투자금융지주_지배구조연차보고서_2026_재공시.pdf,POST,Y,,4079711,4079711,,208,Y,342955,N,79,79,목차,N,690,42579,204.7,보통,fbc1804936f5e6ff514ad3a94536bba6a89f40f7ddcec2d46cadb03c4ff6228c,https://www.koreaholdings.com/common/fildDownload,2026-09-22T02:44:11+0000
