corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,corp_cls,inference_rule,isu_dcrs_de,isu_dcrs_mstvdv_amount,isu_dcrs_mstvdv_fval_amount,isu_dcrs_qy,isu_dcrs_stle,isu_dcrs_stock_knd,stlm_dt,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2017,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2017-12-31,api,irdsSttus,"{""bsns_year"": ""2017"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20180330001804,api_row,2026-08-31T16:10:06+09:00,000,run_20260831_152517_1240,raw/irdsSttus/00176792_2017_11011.json,f90047b5eafe9419d675ce7566353b37ff2dcfb2ec175a3721d55835248430a2,16
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2017,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2017-12-31,api,irdsSttus,"{""bsns_year"": ""2017"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20180330001804,api_row,2026-08-31T16:10:06+09:00,000,run_20260831_152517_1240,raw/irdsSttus/00176792_2017_11011.json,f90047b5eafe9419d675ce7566353b37ff2dcfb2ec175a3721d55835248430a2,16
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2018,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2018-12-31,api,irdsSttus,"{""bsns_year"": ""2018"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20190328001973,api_row,2026-08-31T16:10:16+09:00,000,run_20260831_152517_1249,raw/irdsSttus/00176792_2018_11011.json,a4e0d53cfd03d1c723e413e2b223f621be4fddb28ea928e4eff78c713c275343,16
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2019,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2019-12-31,api,irdsSttus,"{""bsns_year"": ""2019"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20200330003387,api_row,2026-08-31T16:10:27+09:00,000,run_20260831_152517_1258,raw/irdsSttus/00176792_2019_11011.json,b7e280964a27ff81eb2c97c75911defe917c4399528b67d44267b1ad907a183e,16
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2019,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2019-12-31,api,irdsSttus,"{""bsns_year"": ""2019"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20200330003387,api_row,2026-08-31T16:10:27+09:00,000,run_20260831_152517_1258,raw/irdsSttus/00176792_2019_11011.json,b7e280964a27ff81eb2c97c75911defe917c4399528b67d44267b1ad907a183e,16
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2020,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2020-12-31,api,irdsSttus,"{""bsns_year"": ""2020"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20210330001517,api_row,2026-08-31T16:10:37+09:00,000,run_20260831_152517_1267,raw/irdsSttus/00176792_2020_11011.json,01699c0b29a1546fe0011d31f6ea4d41db8d19f60ca65e2749e29575f4f09d56,16
오렌지라이프생명보험,생보,선행법인,00176792,오렌지라이프생명보험,2020,11011,사업보고서,IFRS4,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",-,-,-,-,-,-,2020-12-31,api,irdsSttus,"{""bsns_year"": ""2020"", ""corp_code"": ""00176792"", ""reprt_code"": ""11011""}",20210330001517,api_row,2026-08-31T16:10:37+09:00,000,run_20260831_152517_1267,raw/irdsSttus/00176792_2020_11011.json,01699c0b29a1546fe0011d31f6ea4d41db8d19f60ca65e2749e29575f4f09d56,16
우리금융지주,지주,지주,01350869,우리금융지주,2019,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.01.11,"26,415","5,000","680,164,306",-,보통주,2019-12-31,api,irdsSttus,"{""bsns_year"": ""2019"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20200330004490,api_row,2026-08-31T15:42:52+09:00,000,run_20260831_152517_0476,raw/irdsSttus/01350869_2019_11011.json,8956e8e21100c4afb0958fc6207a0e025eb855acfc4de6f9eb5abc70477cd629,16
우리금융지주,지주,지주,01350869,우리금융지주,2019,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.09.10,"12,350","5,000","42,103,377",-,보통주,2019-12-31,api,irdsSttus,"{""bsns_year"": ""2019"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20200330004490,api_row,2026-08-31T15:42:52+09:00,000,run_20260831_152517_0476,raw/irdsSttus/01350869_2019_11011.json,8956e8e21100c4afb0958fc6207a0e025eb855acfc4de6f9eb5abc70477cd629,16
우리금융지주,지주,지주,01350869,우리금융지주,2020,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.01.11,"26,415","5,000","680,164,306",-,보통주,2020-12-31,api,irdsSttus,"{""bsns_year"": ""2020"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20210318001162,api_row,2026-08-31T15:43:02+09:00,000,run_20260831_152517_0485,raw/irdsSttus/01350869_2020_11011.json,c46da621db79c24dcd7d0dc5d2e802c78fbeafac21ded69d1ea705880722ef35,16
우리금융지주,지주,지주,01350869,우리금융지주,2020,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.09.10,"12,350","5,000","42,103,377",-,보통주,2020-12-31,api,irdsSttus,"{""bsns_year"": ""2020"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20210318001162,api_row,2026-08-31T15:43:02+09:00,000,run_20260831_152517_0485,raw/irdsSttus/01350869_2020_11011.json,c46da621db79c24dcd7d0dc5d2e802c78fbeafac21ded69d1ea705880722ef35,16
우리금융지주,지주,지주,01350869,우리금융지주,2021,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.01.11,"26,415","5,000","680,164,306",-,보통주,2021-12-31,api,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20220317001124,api_row,2026-08-31T15:43:13+09:00,000,run_20260831_152517_0494,raw/irdsSttus/01350869_2021_11011.json,c767747179ba18a2afd613a866329787def1fc95ddea2670dea410053c99eff1,16
우리금융지주,지주,지주,01350869,우리금융지주,2021,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.09.10,"12,350","5,000","42,103,377",-,보통주,2021-12-31,api,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20220317001124,api_row,2026-08-31T15:43:13+09:00,000,run_20260831_152517_0494,raw/irdsSttus/01350869_2021_11011.json,c767747179ba18a2afd613a866329787def1fc95ddea2670dea410053c99eff1,16
우리금융지주,지주,지주,01350869,우리금융지주,2021,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2021.08.10,"11,100","5,000","5,792,866",-,보통주,2021-12-31,api,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20220317001124,api_row,2026-08-31T15:43:13+09:00,000,run_20260831_152517_0494,raw/irdsSttus/01350869_2021_11011.json,c767747179ba18a2afd613a866329787def1fc95ddea2670dea410053c99eff1,16
우리금융지주,지주,지주,01350869,우리금융지주,2022,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.01.11,"26,415","5,000","680,164,306",-,보통주,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20230316001455,api_row,2026-08-31T15:43:24+09:00,000,run_20260831_152517_0503,raw/irdsSttus/01350869_2022_11011.json,cb1fa55691e45320dcc1f5c648ef11940173f996a2184ff41bf666c0f20e8347,16
우리금융지주,지주,지주,01350869,우리금융지주,2022,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",2019.09.10,"12,350","5,000","42,103,377",-,보통주,2022-12-31,api,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""01350869"", ""reprt_code"": ""11011""}",20230316001455,api_row,2026-08-31T15:43:24+09:00,000,run_20260831_152517_0503,raw/irdsSttus/01350869_2022_11011.json,cb1fa55691e45320dcc1f5c648ef11940173f996a2184ff41bf666c0f20e8347,16
